iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
300,614,1080,8059,7996
300,614,1080,8059,7996
300,553,812,7860,8150
300,349,12,6876,8138
300,469,220,7255,7857
300,382,783,7598,7313
300,84,372,7643,7939
300,1052,1194,7649,8161
300,704,1155,8189,8266
300,369,60,7877,7646
300,16,160,7420,7705
300,652,226,7812,7495
300,184,66,6970,7085
300,222,429,8089,7580
300,350,154,7701,8077
300,84,5,7066,8094
300,80,267,7679,7614
300,595,693,7310,7739
300,141,119,7898,7757
300,3,58,8373,7452
300,366,506,7270,7563
300,56,162,7674,7855
300,8,39,7853,7224
300,2,0,7387,6964
300,252,20,6747,7684
300,676,116,7198,8478
300,628,1163,8404,8327
300,146,674,7023,8185
300,967,590,8037,8093
300,61,108,8014,7583
300,160,0,7000,8126
300,101,76,8174,7409
300,431,372,6887,8429
300,169,365,7545,6978
300,1461,1125,7433,8461
300,0,1,5954,6910
300,851,175,6919,8188
300,467,647,8279,8369
300,1,7,7496,7989
300,197,313,7297,7760
300,0,160,7753,6831
300,892,1057,8295,8348
300,66,12,7055,7391
300,5,150,8070,7467
300,227,752,7433,7804
300,196,0,6778,8037
300,626,75,7030,8072
300,469,67,7424,8011
300,1137,1036,7628,7888
300,260,766,8048,7336
300,124,202,7601,7631
300,0,2,7473,6266
300,50,91,8222,7556
300,17,0,6060,7932
300,297,84,6809,8006
300,13,1,7464,7191
300,259,54,7477,8333
300,129,44,7515,7990
300,811,450,8274,7838
300,441,492,7982,8023
300,17,144,7210,6971
300,13,130,7630,7790
300,1,5,6868,8350
300,0,50,7615,6866
300,431,360,7311,8078
300,255,12,6862,7916
300,12,46,8230,7654
300,567,1094,8395,7761
300,371,13,7336,8376
300,351,249,8201,7718
300,160,494,7687,8169
300,935,933,7699,8255
300,1269,907,8035,8668
300,125,38,7468,7489
300,0,1,7169,7123
300,138,38,7701,7960
300,229,1,7216,8183
300,346,412,7756,7793
300,1,75,7756,6816
300,173,68,7216,8068
300,118,242,7156,7178
300,215,794,8211,8374
300,1018,460,8510,8637
300,521,590,8564,7720
300,83,173,7518,7600
300,1203,125,7469,8305
300,295,290,6664,6992
300,11,12,7179,7348
300,5,147,7699,7092
300,875,839,7665,8076
300,836,711,8172,8523
300,392,1016,8639,7656
300,12,77,7706,8556
300,95,405,7941,6689
300,835,11,7765,8563
300,84,5,7019,7725
300,79,91,7629,8644
300,594,495,6266,7087
300,0,0,0,0
300,481,37,7817,7316
