iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
300,7456,560,126,6723
300,7456,560,126,6723
300,7730,38,578,8131
300,7871,698,332,8154
300,7823,251,24,8042
300,8210,702,671,8139
300,7135,65,607,7846
300,7568,33,220,8108
300,7329,396,204,7804
300,7260,854,66,8088
300,7786,334,637,7593
300,7499,243,278,7386
300,9019,1023,701,8298
300,7310,1,78,6744
300,7771,7,14,7448
300,7049,4,30,8566
300,7393,656,428,8324
300,7261,2,0,6517
300,7825,137,99,7983
300,7897,204,1095,7922
300,7518,727,737,7077
300,7934,335,43,7632
300,6833,0,0,6023
300,8087,44,117,8538
300,7706,976,337,8430
300,7428,1,5,7483
300,6331,90,253,7584
300,8095,506,237,7783
300,7600,25,5,6740
300,8336,343,572,8228
300,8344,5,41,8545
300,8332,475,45,7959
300,8059,609,827,7835
300,7900,183,611,7860
300,8076,497,714,7859
300,8175,822,800,7659
300,7755,516,631,7918
300,7249,92,197,8202
300,8032,783,164,7221
300,7643,1371,809,8254
300,8212,506,1070,8213
300,9156,565,187,7973
300,7315,698,584,7302
300,7896,28,107,7423
300,7401,77,432,8030
300,7716,12,7,8203
300,7891,74,246,7471
300,8061,352,611,8000
300,7874,112,282,7163
300,7984,1010,1199,8035
300,7977,285,639,8284
300,7283,73,1,6618
300,7155,609,1494,8359
300,7678,15,209,7677
300,7726,1145,290,7686
300,7768,33,3,8082
300,7714,329,496,8326
300,7084,15,12,7542
300,7887,336,311,8091
300,7168,0,0,7589
300,8225,1377,1138,7653
300,8254,703,604,8474
300,8000,114,0,7046
300,7587,37,894,8025
300,8309,942,1035,8871
300,7933,332,861,7924
300,7544,93,12,7313
300,7655,294,173,7979
300,7481,140,345,8808
300,8193,326,150,8151
300,8111,300,1046,7624
300,8193,129,13,7354
300,8248,1259,582,8269
300,7695,2,0,7052
300,6494,18,374,8044
300,7812,363,85,7396
300,7038,13,72,8402
300,7545,359,120,8649
300,6962,0,0,6934
300,8044,1124,399,7819
300,7086,37,126,6916
300,8046,841,229,7629
300,8193,72,309,7711
300,6836,0,168,8286
300,7709,32,313,8324
300,7490,15,647,7847
300,7808,337,212,7653
300,7937,562,584,8475
300,7148,110,306,7229
300,7834,735,277,7396
300,7551,2,3,7103
300,7521,15,580,8051
300,7229,181,145,7332
300,7256,14,128,7785
300,7613,719,119,7850
300,7671,114,85,7833
300,7958,788,119,7713
300,7203,216,1544,7993
300,0,0,0,0
300,8230,336,292,8340
