iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
4708,262595,262117,262589,257703
4579,262578,262128,262594,244236
3929,262598,262111,262586,210008
4644,262601,262110,262578,255080
5142,262609,262116,262600,253911
4293,262586,262119,262598,239630
3807,262592,262115,262590,215310
4906,262591,262126,262608,255024
5097,262587,262124,262605,262067
4334,262597,262114,262597,248731
4871,262596,262113,262597,253490
4544,262611,262113,262589,230268
4938,262590,262115,262588,262116
4435,262594,262112,262602,253265
5220,262593,262122,262604,255287
4321,262585,262106,262593,235407
5163,262611,262115,262588,258259
5509,262603,262119,262606,261661
4694,262597,262117,262586,248500
4614,262608,262116,262594,228994
4887,262612,262122,262597,254296
5096,262602,262122,262582,255345
4146,262601,262115,262593,198088
4579,262596,262120,262601,256589
3206,262587,262126,262605,171060
4804,262605,262116,262601,258747
3566,262602,262119,262603,174220
5296,262596,262114,262612,261919
5178,262619,262121,262607,260818
4442,262596,262114,262580,227975
4604,262585,262117,262606,242471
3680,262599,262114,262593,223934
4529,262607,262118,262604,241225
4580,262590,262120,262591,242416
4894,262599,262117,262596,237906
4674,262605,262114,262603,225435
3777,262612,262127,262589,209754
4675,262599,262118,262602,258440
4707,262589,262119,262605,243063
5012,262604,262108,262606,255053
5045,262614,262116,262587,253932
4986,262608,262110,262604,244779
5455,262588,262123,262575,256280
4510,262590,262125,262593,245766
4371,262605,262114,262611,243468
5724,262591,262116,262602,262719
3901,262602,262113,262594,217857
5072,262608,262119,262579,260047
5664,262596,262122,262601,258708
4332,262605,262114,262599,234726
4759,262589,262123,262589,258775
5382,262598,262121,262575,257370
3440,262591,262118,262602,147709
4833,262604,262110,262599,259956
4560,262598,262112,262606,243042
5448,262602,262115,262614,261041
4994,262587,262113,262584,254523
4618,262600,262123,262603,246172
4560,262592,262118,262586,221697
5446,262602,262122,262606,256957
3075,262599,262125,262593,142750
4572,262594,262121,262571,242737
5158,262606,262117,262588,262608
4216,262604,262115,262603,236883
5240,262600,262114,262584,255578
5024,262608,262112,262588,257199
4780,262593,262110,262595,250592
4746,262584,262124,262595,251714
5051,262604,262110,262591,257560
4430,262599,262115,262602,255519
4325,262595,262124,262581,233621
4848,262577,262119,262586,249632
4309,262589,262115,262596,231200
4679,262603,262116,262582,259259
4864,262603,262117,262619,257998
4405,262587,262118,262600,235397
4463,262590,262118,262570,252557
4791,262598,262111,262593,253754
4689,262599,262120,262599,251064
5349,262588,262116,262587,262921
4809,262583,262117,262597,254811
5195,262594,262110,262593,258492
5118,262595,262122,262613,257939
4947,262574,262115,262585,244013
4783,262595,262117,262590,254639
4411,262598,262113,262602,251404
4539,262603,262115,262586,249265
4986,262594,262110,262587,256497
4675,262601,262110,262598,252829
4508,262599,262117,262586,249252
4600,262600,262104,262590,252798
4788,262596,262119,262607,254211
5320,262614,262114,262584,262281
5059,262595,262118,262596,260509
3843,262580,262116,262607,225063
4669,262603,262112,262616,259395
5255,262608,262117,262609,257373
4978,262589,262117,262582,259770
5185,262601,262123,262598,262049
5280,262589,262118,262572,253018
