iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
3170,262657,262144,262658,263169
3120,262656,262144,262658,263170
3108,262658,262144,262659,263166
3101,262658,262144,262656,263165
3059,262656,262144,262656,263170
3084,262656,262144,262656,263172
3084,262657,262144,262657,263136
3125,262657,262144,262656,263173
3099,262655,262144,262657,263168
3160,262656,262144,262656,263175
3134,262656,262144,262656,263171
3134,262657,262144,262657,263171
3118,262657,262144,262657,263169
3099,262658,262144,262656,263168
3129,262657,262144,262658,263173
3144,262656,262144,262656,263173
3122,262657,262144,262657,263170
3110,262656,262144,262656,263171
3121,262658,262144,262656,263170
3123,262655,262144,262656,263169
3158,262657,262144,262657,263172
3111,262657,262144,262656,263170
3101,262657,262144,262658,263172
3113,262656,262144,262657,263165
3172,262659,262144,262656,263173
3060,262658,262144,262657,263174
3107,262656,262144,262659,263175
3147,262656,262144,262657,263166
3130,262657,262144,262658,263174
3042,262657,262144,262656,263173
3105,262656,262144,262657,263172
3079,262657,262144,262656,263178
3099,262658,262144,262658,263168
3177,262657,262144,262655,263173
3107,262657,262144,262656,263173
3151,262656,262144,262656,263151
3095,262656,262144,262657,263172
3158,262655,262144,262658,263172
3161,262657,262144,262657,263169
3074,262656,262144,262657,263170
3135,262658,262144,262658,263172
3172,262658,262144,262656,263173
3132,262656,262144,262657,263172
3129,262658,262144,262657,263170
3083,262657,262144,262657,263171
3097,262657,262144,262656,263160
3081,262659,262144,262656,263172
3110,262658,262144,262656,263163
3119,262658,262144,262656,263174
3115,262658,262144,262657,263170
3079,262658,262144,262658,263175
3156,262659,262144,262657,263172
3126,262657,262144,262657,263176
3162,262657,262144,262657,263169
3208,262657,262144,262657,263172
3100,262658,262144,262658,263174
3127,262656,262144,262657,263172
3124,262657,262144,262660,263172
3100,262659,262144,262658,263173
3130,262658,262144,262657,263169
3110,262658,262144,262657,263171
3130,262657,262144,262656,263176
3111,262657,262144,262658,263160
3149,262656,262144,262657,263171
3149,262656,262144,262656,263170
3057,262659,262144,262657,263169
3122,262657,262144,262656,263164
3105,262656,262144,262657,263169
3060,262656,262144,262656,263160
3131,262657,262144,262657,263176
3117,262657,262144,262658,263174
3126,262659,262144,262660,263173
3077,262655,262144,262658,263145
3179,262659,262144,262656,263173
3148,262656,262144,262658,263169
3179,262655,262144,262656,263169
3144,262656,262144,262659,263170
3096,262658,262144,262658,263172
3092,262658,262144,262656,263171
3149,262658,262144,262656,263178
3123,262656,262144,262658,263166
3102,262656,262144,262657,263175
3119,262658,262144,262656,263169
3134,262658,262144,262657,263145
3142,262657,262144,262658,263177
3173,262657,262144,262657,263171
3102,262657,262144,262657,263166
3081,262656,262144,262656,263151
3134,262655,262144,262656,263173
3143,262656,262144,262657,263165
3116,262656,262144,262657,263177
3132,262659,262144,262656,263174
3159,262658,262144,262658,263170
3161,262657,262144,262660,263171
3119,262655,262144,262658,263166
3140,262658,262144,262657,263176
3109,262657,262144,262659,263171
3088,262657,262144,262657,263172
3156,262659,262144,262657,263174
3147,262657,262144,262658,263170
