iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
300,0,0,0,0
300,0,0,0,0
300,0,1,2,1
300,0,0,0,0
300,1,0,70,74
300,0,0,131,470
300,0,0,390,848
300,1,0,2,2
300,0,0,0,0
300,0,0,1,0
300,3,0,26,157
300,12,1,245,657
300,0,0,1,1
300,0,0,0,0
300,2,0,19,74
300,7,0,68,487
300,0,0,0,0
300,0,0,3,1
300,0,0,70,42
300,1,1,818,306
300,0,0,0,0
300,5,11,338,595
300,0,0,0,0
300,0,3,91,38
300,2,0,5,0
300,2,0,569,39
300,0,0,0,0
300,0,0,27,56
300,0,0,709,351
300,0,0,1,4
300,0,0,0,0
300,0,0,0,1
300,0,0,0,0
300,1,0,0,3
300,0,1,1,4
300,0,0,0,0
300,0,1,490,627
300,0,0,46,669
300,0,0,0,0
300,0,0,6,8
300,0,0,69,314
300,1,1,524,294
300,0,8,109,322
300,0,0,0,0
300,0,1,201,148
300,0,0,48,43
300,4,14,65,527
300,0,2,252,237
300,1,2,241,426
300,1,0,358,489
300,0,0,1,2
300,0,0,558,439
300,0,15,96,3
300,0,1,145,167
300,0,0,10,24
300,8,2,90,103
300,0,1,27,36
300,0,0,0,0
300,0,0,321,481
300,0,0,203,801
300,0,0,58,528
300,0,0,0,173
300,0,0,1,1
300,0,0,222,332
300,0,0,217,779
300,0,0,1,11
300,0,0,1,2
300,0,0,96,8
300,0,1,0,13
300,0,0,463,174
300,0,2,36,761
300,1,0,4,8
300,2,1,18,9
300,6,2,29,147
300,0,0,388,398
300,0,1,3,3
300,2,4,73,80
300,0,3,467,496
300,1,0,0,1
300,0,0,107,481
300,0,0,0,1
300,0,4,542,487
300,0,0,6,1
300,2,1,184,919
300,0,0,755,379
300,8,1,192,853
300,0,0,4,8
300,0,0,10,2
300,0,8,602,5
300,0,0,12,3
300,6,7,508,309
300,0,0,62,7
300,0,0,2,0
300,0,0,1,7
300,4,1,163,416
300,0,0,85,23
300,0,0,284,283
300,0,0,211,78
300,0,0,0,0
300,0,0,1,2
