iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
300,4089,4363,21874,21850
300,4089,4363,21874,21850
300,4548,4371,22840,24207
300,3951,3345,21471,23923
300,3829,3929,22475,23195
300,3657,4512,23815,23147
300,3712,3704,23210,24212
300,4376,3900,22119,22571
300,4387,5036,23618,23862
300,2922,2693,23464,23020
300,3488,3807,22653,22914
300,4194,3714,23362,23844
300,4346,2719,22018,22908
300,3397,3588,22336,22383
300,3495,2903,22845,23174
300,3988,3504,22355,24330
300,3841,4476,22267,22608
300,4310,4373,22568,23206
300,3305,3444,23452,22734
300,3255,3447,23772,23027
300,3844,3820,22175,22439
300,3474,3462,23236,24300
300,3751,3781,22833,21596
300,3842,3385,22221,22286
300,3719,3541,21154,22696
300,4074,3733,22188,23396
300,3862,4557,23025,23461
300,3802,3912,21645,23196
300,4247,4077,23761,23040
300,3243,3323,23083,22548
300,3472,2945,22092,22608
300,3595,3412,22727,22519
300,4057,3918,22253,23813
300,3981,4154,23096,21903
300,4732,4682,22562,23645
300,3177,2720,19772,22031
300,4719,3194,22771,24003
300,3951,4216,23910,24860
300,3759,3645,22134,22703
300,4104,3825,22184,22719
300,2499,3120,22320,21462
300,4450,5033,24146,22729
300,4004,3508,22429,22939
300,4104,3673,22771,23242
300,3313,3580,22807,23085
300,4620,3631,21663,24585
300,3600,3792,21685,23103
300,3160,3767,24205,23815
300,5156,4766,22991,23521
300,3678,4583,24171,22653
300,4086,4057,23390,22351
300,3487,3040,22246,21733
300,3703,4102,23755,23119
300,3651,2805,21092,22970
300,3583,3087,21354,23011
300,3979,2962,22958,22250
300,3845,3357,22432,23133
300,3642,3320,22501,22963
300,4136,3748,23965,23370
300,4073,3747,22728,23797
300,3700,3566,22926,22154
300,3735,4135,22722,23385
300,3497,2904,21421,24078
300,3479,3295,22428,22100
300,4457,4195,22896,24016
300,3993,3767,21606,22804
300,3261,3871,22893,22290
300,3914,4642,23307,22609
300,3674,4595,23071,23457
300,4155,3289,23918,23462
300,3672,3914,22508,23938
300,4442,3645,22780,23645
300,4552,4646,23378,24609
300,3677,3784,22408,22646
300,3732,3405,22377,22029
300,3448,3916,22983,23677
300,3509,3333,22741,23997
300,4038,3973,23969,25053
300,3974,3364,22875,22382
300,3547,3406,22153,23876
300,3627,3684,21957,22331
300,3895,4299,23907,23522
300,4759,4053,23813,23220
300,4013,4392,24727,23333
300,3619,3143,23490,22877
300,4667,3386,23727,25220
300,3824,4411,22124,22466
300,3855,3380,20869,21718
300,3792,4019,23800,21771
300,3872,3803,22641,23726
300,4952,4191,23438,24127
300,3368,4549,23745,22670
300,3040,3868,22799,23169
300,3487,3591,23636,22960
300,3770,2945,23437,24284
300,3832,3867,21685,22417
300,3116,3244,22984,23947
300,3724,4168,21688,22736
300,3075,2916,14698,14540
300,4360,3999,23273,22701
