iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
958,49566,53900,302966,304101
958,49566,53900,302966,304101
941,47473,55745,301951,307570
944,50795,39396,292930,306961
936,50215,43321,302416,306139
940,42378,42654,301247,301464
938,40309,39316,305729,305523
943,45915,44851,301128,302989
947,49912,50390,306939,305812
941,43902,48736,306387,301568
947,43470,42408,297221,303526
952,50625,46547,312637,309050
947,49733,39608,306259,306220
957,41008,40540,300922,301468
951,51483,45918,302483,303352
956,41744,39439,307009,317272
953,52244,43195,302149,310856
949,41348,52406,306287,302418
950,50972,47961,309517,306765
948,38648,44877,314194,308078
961,39780,47307,310145,303469
956,45308,42857,315384,317318
958,41602,46131,305206,298187
952,40965,42429,302304,299101
958,54463,44799,300370,311599
953,52237,50781,303194,312460
948,44077,54442,302584,302354
946,43612,47349,296659,299805
950,51177,45848,307548,304825
951,39135,42042,305697,296125
942,43718,48306,305767,306435
948,41439,48450,310766,306419
937,48232,43877,306130,313001
943,41471,43682,299819,300345
942,50726,42488,297765,305511
954,38903,38571,288844,292629
953,42069,39862,306999,309005
950,52058,43439,307912,308620
953,46486,43534,293775,302051
947,42159,52124,304311,306166
938,39910,47219,298646,294175
959,48361,55340,305631,305313
936,48532,47505,301616,300848
944,45868,44717,300965,301466
947,47969,48739,307234,312790
935,47491,43741,298649,308113
954,50038,41602,301565,305588
935,45345,38294,296667,298357
950,52754,53540,310705,309095
942,46281,48384,307720,298399
936,44329,39973,301975,306091
968,41354,40409,312963,307309
932,39294,39569,296535,303017
954,42044,38401,300993,315119
950,47756,39588,291926,298953
943,46944,37128,296448,298709
952,51580,50274,309254,309449
960,40316,39043,299278,302732
953,52908,42817,309007,302731
965,48916,49674,309743,310651
951,46078,39473,301249,315622
926,38944,41655,289721,296083
958,39334,37522,297254,308648
941,38821,37775,297360,295832
963,49758,54907,309007,317449
957,42171,41444,299730,302972
949,44736,42266,302338,300499
942,45477,46632,299806,299534
934,48033,53329,299796,297946
960,50048,49649,307958,305300
949,45546,47253,304092,309178
943,56250,46836,303013,309864
946,53129,55231,307859,310427
946,50839,42856,300292,304108
965,46664,46325,323314,314516
943,39194,46071,306444,310558
956,42276,40318,296605,302563
937,38850,40411,303703,306779
938,39758,39247,299727,297036
930,37945,39314,293522,292413
948,39511,50053,301709,299900
953,43392,48707,304966,302222
930,40614,41029,299190,297147
938,43561,41297,303884,294867
965,47884,43766,300349,309185
934,47472,44642,305479,306617
952,40636,41365,294847,301734
956,41418,38855,296868,301232
954,40962,41842,316003,307481
942,48445,44256,304090,304681
943,46268,43707,304033,306362
948,40338,45760,311443,306025
963,40647,40372,297147,307508
950,46329,45165,307023,306797
937,49732,50096,298092,300224
962,53677,48299,304267,309273
959,42266,43795,301856,303792
933,39906,45134,301697,304061
961,38569,38799,162883,162017
948,49394,48252,306421,305252
