iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
300,1792,0,2333,10173
300,1792,0,2333,10173
300,1967,1806,12941,14208
300,2506,2827,12807,12070
300,2911,2340,12674,13244
300,3020,3437,13272,12192
300,1715,2240,13435,10852
300,2977,1548,13635,11997
300,2023,2,2585,10502
300,2969,2644,11675,12617
300,1996,2252,12514,13758
300,1714,2662,11784,12771
300,2954,2441,12675,12980
300,1796,1682,12749,13636
300,2380,2453,12948,13073
300,1526,3174,14029,13460
300,2089,2106,13543,12586
300,2119,1265,12956,13540
300,1169,2262,13040,12934
300,3161,2432,13618,11948
300,2867,2634,13168,11868
300,2771,2178,13476,12622
300,1910,2926,12607,12762
300,1734,2483,13374,13286
300,2825,2932,12653,11962
300,3410,2286,13173,14517
300,2237,1925,11663,14003
300,2539,1304,12071,12183
300,2276,3475,13507,12749
300,2427,2404,13166,12789
300,3340,2549,12850,13523
300,1563,3351,12932,12954
300,3158,2485,12737,13049
300,2346,3053,13098,13024
300,2060,2734,13138,12927
300,2366,2258,12172,12176
300,2947,2468,11618,12892
300,1956,2461,13594,14280
300,2776,2529,12896,12702
300,3483,2538,14003,12427
300,2864,2240,13258,13573
300,1739,2453,13794,13962
300,2083,932,13590,13418
300,2537,2914,13991,13525
300,2382,3195,12763,12328
300,1647,1819,12249,12880
300,2245,2641,12764,12534
300,2694,3224,13374,12849
300,1761,2397,12928,13424
300,2413,2727,13775,12056
300,2203,2343,13081,11411
300,1664,2759,13537,13083
300,3127,2198,14578,12998
300,2578,1819,13150,13473
300,2358,2605,13161,12725
300,2618,2553,13735,14859
300,2723,2518,12438,13273
300,2474,2456,12391,13480
300,2757,2155,12994,12869
300,2524,1834,12802,12942
300,2206,2751,13917,12843
300,1584,3091,13591,13468
300,1869,2771,13139,12975
300,2042,2031,12714,12824
300,1950,2664,12659,13273
300,2837,2035,13000,13621
300,1393,2858,12059,12141
300,2903,1851,13306,13905
300,2452,2066,12375,11655
300,3191,2279,13995,13900
300,3095,3114,13298,13026
300,3241,1669,13639,13287
300,3335,2665,12998,14198
300,3068,2361,11475,12443
300,3054,2665,13456,12440
300,2085,2000,13065,13488
300,1977,3019,13685,13696
300,2378,2661,13848,12948
300,1771,1898,13425,12705
300,2289,2378,13561,12591
300,2247,1931,12819,12287
300,2175,2458,13435,13036
300,2904,1907,13143,12151
300,2277,2630,12417,13955
300,2785,1892,11729,12383
300,1777,3115,12719,13703
300,2067,2995,12498,11734
300,2083,2403,12480,12540
300,2092,3417,12654,12949
300,3082,2732,13926,11721
300,2946,1899,13289,13809
300,1433,2848,13257,13740
300,725,3096,12951,12270
300,2709,3202,13120,12775
300,1942,1987,11604,13066
300,3016,2952,12344,14162
300,2767,1914,12478,12208
300,2615,2570,13005,13012
300,1,2477,10117,2841
300,1576,0,1695,10189
