iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
300,1792,0,2333,10173
300,1792,0,2333,10173
300,1961,0,2785,11204
300,2505,48,1995,9993
300,2908,3,2498,10319
300,2942,73,2347,10292
300,1715,0,2956,10007
300,2972,24,2678,10219
300,2023,2,2585,10502
300,2969,1,1531,10446
300,1988,0,2072,10785
300,1714,0,2215,9973
300,2952,11,2449,10495
300,1756,0,2115,10635
300,2285,0,2533,10846
300,1524,0,3064,11056
300,2089,0,2514,10027
300,2029,0,2836,10457
300,1169,0,2262,10218
300,3161,33,2906,10639
300,2867,149,2435,9810
300,2771,37,2754,10442
300,1834,0,1856,10134
300,1732,0,3076,10469
300,2787,1,2055,10170
300,3400,5,2705,11401
300,2224,0,793,10528
300,2537,0,1265,11018
300,2266,0,2701,10417
300,2426,10,2489,10284
300,3278,9,2557,11419
300,1518,0,2382,9848
300,3158,26,2406,10270
300,2340,1,2831,10622
300,2060,6,2091,10701
300,2366,5,2308,9902
300,2947,0,1729,10773
300,1956,0,2189,11059
300,2775,39,3364,10529
300,3483,45,3152,10509
300,2856,117,2777,10367
300,1739,6,3082,11265
300,2081,22,3180,10695
300,2481,9,3360,10957
300,2364,0,2353,10714
300,1647,0,2045,10584
300,2244,3,2153,10689
300,2693,1,2452,11101
300,1761,13,2215,10279
300,2412,34,2873,10508
300,2199,0,2195,9660
300,1652,0,2214,10019
300,3125,90,3595,10773
300,2578,6,2846,10615
300,2354,1,2536,10443
300,2507,0,3044,11084
300,2722,1,2110,10263
300,2473,0,1745,10727
300,2757,2,2257,10582
300,2471,0,1868,10379
300,2203,1,3291,10534
300,1566,0,2785,11292
300,1866,6,2673,10433
300,2042,8,2657,10604
300,1926,8,1946,10423
300,2821,0,2290,10597
300,1392,0,1691,9717
300,2902,5,2825,11098
300,2449,3,1998,9797
300,3131,13,3239,11322
300,3091,25,2995,10901
300,3241,3,3138,10934
300,3270,16,2021,11118
300,3067,4,1114,10092
300,3049,50,3337,10329
300,2079,0,2002,10581
300,1974,1,2632,10593
300,2376,105,3337,10894
300,1771,0,3121,10592
300,2278,0,2382,10017
300,2247,0,1958,10069
300,2174,25,3547,10743
300,2904,0,2325,10513
300,2200,0,1601,10705
300,2780,0,1913,10197
300,1760,0,2383,10758
300,2064,0,2096,9939
300,2083,0,2271,10440
300,2077,1,2123,10634
300,3081,2,2938,10000
300,2946,50,3240,11309
300,1433,2,2449,10736
300,725,0,2456,10189
300,2709,6,2789,10271
300,1942,49,1944,11100
300,2977,237,2453,11074
300,2764,0,2248,10261
300,2603,0,2405,10440
300,0,0,0,0
300,1576,0,1694,10186
