iteracoes_ate_apagar,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d
300,7456,560,126,6723
300,7456,560,126,6723
300,7736,1844,10734,11135
300,7872,3477,11144,10231
300,7826,2588,10200,10967
300,8288,4066,11596,10039
300,7135,2305,11086,8691
300,7573,1557,11177,9886
300,7329,396,204,7804
300,7260,3497,10210,10259
300,7794,2586,11079,10566
300,7499,2905,9847,10184
300,9021,3453,10927,10783
300,7350,1683,10712,9745
300,7866,2460,10429,9675
300,7051,3178,10995,10970
300,7393,2762,11457,10883
300,7351,1267,10120,9600
300,7825,2399,10877,10699
300,7897,2603,11807,9231
300,7518,3212,11470,9135
300,7934,2476,10765,9812
300,6909,2926,10751,8651
300,8089,2527,10415,11355
300,7744,3907,10935,10222
300,7438,2282,10473,10599
300,6344,2015,11123,11059
300,8097,1810,11043,8948
300,7610,3500,10811,9072
300,8337,2737,11249,10733
300,8406,2545,10334,10649
300,8377,3826,10595,11065
300,8059,3068,11158,10614
300,7906,3235,10878,10262
300,8076,3225,11761,10085
300,8175,3075,10664,9933
300,7755,2984,10520,10037
300,7249,2553,11602,11423
300,8033,3273,9696,9394
300,7643,3864,11660,10172
300,8220,2629,11551,11419
300,9156,3012,10899,10670
300,7317,1608,10994,10025
300,7952,2933,10738,9991
300,7419,3272,10842,9644
300,7716,1831,10211,10499
300,7892,2712,10857,9316
300,8062,3575,11533,9748
300,7874,2496,10995,10308
300,7985,3703,12101,9583
300,7981,2628,11525,10035
300,7295,2832,11324,9682
300,7157,2717,12477,10584
300,7678,1828,10513,10535
300,7730,3749,10915,9968
300,7879,2586,10694,11857
300,7715,2846,10824,11336
300,7085,2471,10658,10295
300,7887,2489,11048,10378
300,7221,1834,10934,10152
300,8228,4127,11764,9962
300,8272,3794,11410,10650
300,8003,2879,10466,9588
300,7587,2060,10951,10245
300,8333,3598,11748,11721
300,7949,2367,11571,10948
300,7545,2951,10380,9737
300,7656,2140,10654,10786
300,7484,2203,10722,10666
300,8253,2592,10906,10729
300,8115,3389,11349,9749
300,8193,1795,10514,9707
300,8313,3908,11559,11349
300,7696,2359,10361,9403
300,6499,2633,10493,10155
300,7818,2363,11148,10303
300,7041,3031,11125,11505
300,7547,2915,10631,10703
300,6962,1898,10304,9047
300,8055,3502,11578,10393
300,7086,1968,10987,9134
300,8047,3274,10117,9922
300,8193,1979,11127,9349
300,6913,2630,10984,11536
300,7714,1924,10129,10510
300,7507,3130,10983,10792
300,7811,3332,10614,9448
300,7937,2965,10793,10575
300,7163,3526,10837,9544
300,7835,3465,11265,9117
300,7551,1851,10052,9603
300,7521,2861,11388,11055
300,7229,3277,10640,9413
300,7256,3210,10459,10289
300,7613,2657,9779,9816
300,7710,2829,9976,10921
300,7961,2702,10349,9660
300,7215,2786,12144,10565
300,1,2477,10117,2841
300,8230,336,293,8343
