file_size,key_size,time
1MB,128,.169
1MB,128,.012
1MB,128,.007
1MB,128,.006
1MB,128,.005
1MB,128,.007
1MB,128,.006
1MB,128,.006
1MB,128,.006
1MB,128,.005
1MB,192,.006
1MB,192,.007
1MB,192,.006
1MB,192,.005
1MB,192,.006
1MB,192,.007
1MB,192,.006
1MB,192,.006
1MB,192,.006
1MB,192,.007
1MB,256,.006
1MB,256,.008
1MB,256,.006
1MB,256,.006
1MB,256,.007
1MB,256,.007
1MB,256,.006
1MB,256,.006
1MB,256,.008
1MB,256,.007
100MB,128,.938
100MB,128,1.330
100MB,128,1.587
100MB,128,1.702
100MB,128,1.242
100MB,128,1.314
100MB,128,1.341
100MB,128,1.883
100MB,128,1.464
100MB,128,1.871
100MB,192,.190
100MB,192,.258
100MB,192,3.004
100MB,192,2.153
100MB,192,1.716
100MB,192,1.686
100MB,192,1.387
100MB,192,1.948
100MB,192,1.486
100MB,192,1.578
100MB,256,.206
100MB,256,.230
100MB,256,3.555
100MB,256,2.244
100MB,256,1.569
100MB,256,1.253
100MB,256,.764
100MB,256,1.291
100MB,256,1.603
100MB,256,1.664
1GB,128,20.537
1GB,128,6.982
1GB,128,15.840
1GB,128,18.322
1GB,128,14.790
1GB,128,21.143
1GB,128,23.847
1GB,128,13.739
1GB,128,20.901
1GB,128,19.491
1GB,192,12.902
1GB,192,14.931
1GB,192,15.950
1GB,192,19.472
1GB,192,17.887
1GB,192,17.669
1GB,192,23.141
1GB,192,17.804
1GB,192,19.561
1GB,192,21.850
1GB,256,3.827
1GB,256,18.481
1GB,256,17.107
1GB,256,17.063
1GB,256,18.387
1GB,256,16.891
1GB,256,28.715
1GB,256,14.271
1GB,256,24.789
1GB,256,20.360
